Año,Region Geografica,Sector,Sector Economico,Sub sector,Tamaño de Empresa, Porcentaje de las empresas que tienen un área encargada de las TIC , GOBERNANZA , Porcentaje de las empresas que tienen presupuesto para las TIC , Porcentaje del presupuesto total asignado a las TIC , PRESUPUESTO , Porcentaje de las empresas que invierten en capacitar al personal , Porcentaje de las empresas que considera que es importante que su empresa domine las TIC , CAPACITIACIÓN , Porcentaje de las empresas que cuentan con un protocolo para dar respuesta a incidentes digitales , Porcentaje de las empresas que han estimado los costos de incidentes digitales , Porcentaje de las empresas que tienen un área encargada de la seguridad informática , SEGURIDAD , Porcentaje de las empresas que consideran que el acceso a las TIC es importante , Porcentaje de las empresas que han realizado innovaciones en su empresa usando las TIC , INNOVACIÓN , Calculo del Indice 
2017,Region Atlantico,Sector Primario,Minas y canteras,Total,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Primario,Minas y canteras,Total,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Primario,Minas y canteras,Total,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Primario,Minas y canteras,Total,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Secundario,Total,Total,Total,  34.4 ,  34.4 ,  33.9 ,  12.0 ,  27.3 ,  41.8 ,  56.5 ,  47.7 ,  26.0 ,  6.9 ,  20.7 ,  20.6 ,  62.6 ,  36.8 ,  47.1 ,  35.4 
2017,Region Atlantico,Sector Secundario,Total,Total,Micros,  18.4 ,  18.4 ,  17.4 ,  6.9 ,  14.2 ,  15.6 ,  43.8 ,  26.9 ,  10.1 ,  -   ,  -   ,  5.1 ,  43.8 ,  27.2 ,  33.8 ,  19.7 
2017,Region Atlantico,Sector Secundario,Total,Total,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Secundario,Total,Total,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Total,Total,  33.0 ,  33.0 ,  28.0 ,  9.5 ,  22.5 ,  43.0 ,  50.8 ,  46.1 ,  23.5 ,  7.8 ,  23.5 ,  20.3 ,  57.7 ,  28.5 ,  40.2 ,  32.4 
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Total,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Total,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Total,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Madera y muebles,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Madera y muebles,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Madera y muebles,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Madera y muebles,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Papel e impresión,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Papel e impresión,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Papel e impresión,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Papel e impresión,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Otros manufactura,Total,  33.0 ,  33.0 ,  28.0 ,  9.5 ,  22.5 ,  43.0 ,  50.8 ,  46.1 ,  23.5 ,  7.8 ,  23.5 ,  20.3 ,  57.7 ,  28.5 ,  40.2 ,  32.4 
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Otros manufactura,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Otros manufactura,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Otros manufactura,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Secundario,Servicios Publicos,Total,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Secundario,Servicios Publicos,Total,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Secundario,Servicios Publicos,Total,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Secundario,Servicios Publicos,Total,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Secundario,Construccion,Total,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Secundario,Construccion,Total,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Secundario,Construccion,Total,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Secundario,Construccion,Total,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Terciario,Total,Total,Total,  33.1 ,  33.1 ,  30.8 ,  15.7 ,  26.3 ,  31.9 ,  60.4 ,  43.3 ,  15.8 ,  3.7 ,  16.0 ,  13.4 ,  63.7 ,  32.5 ,  45.0 ,  32.2 
2017,Region Atlantico,Sector Terciario,Total,Total,Micros,  22.7 ,  22.7 ,  22.4 ,  12.0 ,  19.3 ,  19.7 ,  52.6 ,  32.8 ,  6.5 ,  2.5 ,  6.6 ,  5.8 ,  55.7 ,  23.0 ,  36.1 ,  23.3 
2017,Region Atlantico,Sector Terciario,Total,Total,Pymes,  57.7 ,  57.7 ,  46.2 ,  22.0 ,  38.9 ,  66.2 ,  85.1 ,  73.8 ,  35.7 ,  6.0 ,  36.6 ,  30.0 ,  88.9 ,  56.1 ,  69.2 ,  53.9 
2017,Region Atlantico,Sector Terciario,Total,Total,Grandes,  97.1 ,  97.1 ,  94.6 ,  44.2 ,  79.5 ,  93.7 ,  92.2 ,  93.1 ,  77.6 ,  12.7 ,  77.6 ,  64.6 ,  97.6 ,  88.3 ,  92.0 ,  85.3 
2017,Region Atlantico,Sector Terciario,Comercio,Total,Total,  27.7 ,  27.7 ,  28.7 ,  14.7 ,  24.5 ,  28.8 ,  54.7 ,  39.2 ,  13.1 ,  3.0 ,  13.6 ,  11.3 ,  59.3 ,  27.7 ,  40.3 ,  28.6 
2017,Region Atlantico,Sector Terciario,Comercio,Total,Micros,  19.5 ,  19.5 ,  21.7 ,  12.0 ,  18.8 ,  20.0 ,  49.0 ,  31.6 ,  6.2 ,  3.0 ,  6.8 ,  5.8 ,  53.8 ,  19.2 ,  33.1 ,  21.8 
2017,Region Atlantico,Sector Terciario,Comercio,Total,Pymes,  63.3 ,  63.3 ,  60.9 ,  28.0 ,  51.0 ,  69.8 ,  86.0 ,  76.3 ,  44.0 ,  4.5 ,  44.0 ,  36.1 ,  85.9 ,  69.8 ,  76.2 ,  60.6 
2017,Region Atlantico,Sector Terciario,Comercio,Total,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Terciario,Servicios,Total,Total,  43.0 ,  43.0 ,  34.7 ,  17.5 ,  29.6 ,  37.6 ,  70.9 ,  50.9 ,  20.8 ,  5.0 ,  20.3 ,  17.5 ,  71.8 ,  41.5 ,  53.6 ,  38.9 
2017,Region Atlantico,Sector Terciario,Servicios,Total,Micros,  30.3 ,  30.3 ,  24.0 ,  12.0 ,  20.4 ,  18.8 ,  61.3 ,  35.8 ,  7.3 ,  1.5 ,  6.0 ,  5.8 ,  60.1 ,  32.1 ,  43.3 ,  27.1 
2017,Region Atlantico,Sector Terciario,Servicios,Total,Pymes,  52.7 ,  52.7 ,  33.5 ,  16.8 ,  28.5 ,  63.2 ,  84.4 ,  71.6 ,  28.5 ,  7.2 ,  30.2 ,  24.8 ,  91.5 ,  44.2 ,  63.1 ,  48.1 
2017,Region Atlantico,Sector Terciario,Servicios,Total,Grandes,  95.3 ,  95.3 ,  100.0 ,  51.1 ,  85.3 ,  89.7 ,  96.1 ,  92.3 ,  81.1 ,  20.6 ,  81.0 ,  69.0 ,  96.1 ,  89.7 ,  92.3 ,  86.8 
2017,Region Atlantico,Sector Terciario,Servicios,Transporte y almacenamiento,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Terciario,Servicios,Transporte y almacenamiento,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Terciario,Servicios,Transporte y almacenamiento,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Terciario,Servicios,Transporte y almacenamiento,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Terciario,Servicios,Alojamiento y servicios de comida,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Terciario,Servicios,Alojamiento y servicios de comida,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Terciario,Servicios,Alojamiento y servicios de comida,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Terciario,Servicios,Alojamiento y servicios de comida,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Terciario,Servicios,Información y comunicaciones,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Terciario,Servicios,Información y comunicaciones,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Terciario,Servicios,Información y comunicaciones,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Terciario,Servicios,Información y comunicaciones,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Terciario,Servicios,Actividades financieras y de seguros,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Terciario,Servicios,Actividades financieras y de seguros,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Terciario,Servicios,Actividades financieras y de seguros,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Terciario,Servicios,Actividades financieras y de seguros,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Terciario,Servicios,Actividades inmobiliarias y Actividades de servicios administrativos y de apoyo,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Terciario,Servicios,Actividades inmobiliarias y Actividades de servicios administrativos y de apoyo,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Terciario,Servicios,Actividades inmobiliarias y Actividades de servicios administrativos y de apoyo,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Terciario,Servicios,Actividades inmobiliarias y Actividades de servicios administrativos y de apoyo,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Terciario,Servicios,"Actividades profesionales, científicas y técnicas",Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Terciario,Servicios,"Actividades profesionales, científicas y técnicas",Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Terciario,Servicios,"Actividades profesionales, científicas y técnicas",Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Terciario,Servicios,"Actividades profesionales, científicas y técnicas",Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Terciario,Servicios,Administración pública y defensa,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Terciario,Servicios,Administración pública y defensa,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Terciario,Servicios,Administración pública y defensa,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Terciario,Servicios,Administración pública y defensa,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Terciario,Servicios,Educación,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Terciario,Servicios,Educación,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Terciario,Servicios,Educación,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Terciario,Servicios,Educación,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Terciario,Servicios,Atencion de salud y de asistencia social,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Terciario,Servicios,Atencion de salud y de asistencia social,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Terciario,Servicios,Atencion de salud y de asistencia social,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Terciario,Servicios,Atencion de salud y de asistencia social,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Terciario,Servicios,"Actividades artísticas, de entretenimiento y recreación",Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Terciario,Servicios,"Actividades artísticas, de entretenimiento y recreación",Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Terciario,Servicios,"Actividades artísticas, de entretenimiento y recreación",Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Terciario,Servicios,"Actividades artísticas, de entretenimiento y recreación",Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Terciario,Servicios,Otros servicios,Total,  37.6 ,  37.6 ,  29.5 ,  14.9 ,  25.1 ,  35.3 ,  68.4 ,  48.6 ,  13.7 ,  1.1 ,  14.8 ,  11.5 ,  69.5 ,  37.4 ,  50.2 ,  34.6 
2017,Region Atlantico,Sector Terciario,Servicios,Otros servicios,Micros,  28.7 ,  28.7 ,  22.1 ,  11.9 ,  19.0 ,  19.8 ,  59.4 ,  35.6 ,  4.7 ,  1.6 ,  5.9 ,  4.4 ,  58.1 ,  30.7 ,  41.6 ,  25.9 
2017,Region Atlantico,Sector Terciario,Servicios,Otros servicios,Pymes,  53.2 ,  53.2 ,  36.3 ,  16.1 ,  30.3 ,  68.1 ,  88.8 ,  76.4 ,  30.4 ,  -   ,  27.9 ,  23.5 ,  97.4 ,  49.5 ,  68.6 ,  50.4 
2017,Region Atlantico,Sector Terciario,Servicios,Otros servicios,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Total,Total,Total,Total,  41.0 ,  41.0 ,  28.3 ,  13.2 ,  23.8 ,  33.4 ,  62.8 ,  45.2 ,  14.6 ,  7.4 ,  20.7 ,  15.0 ,  68.7 ,  29.6 ,  45.2 ,  34.0 
2017,Region Pacifico,Total,Total,Total,Micros,  30.5 ,  30.5 ,  19.5 ,  9.3 ,  16.4 ,  21.1 ,  55.7 ,  35.0 ,  6.8 ,  4.8 ,  12.2 ,  8.0 ,  62.5 ,  21.8 ,  38.1 ,  25.6 
2017,Region Pacifico,Total,Total,Total,Pymes,  63.0 ,  63.0 ,  45.4 ,  22.1 ,  38.4 ,  63.0 ,  79.4 ,  69.6 ,  32.3 ,  13.1 ,  38.7 ,  30.4 ,  83.5 ,  46.3 ,  61.2 ,  52.5 
2017,Region Pacifico,Total,Total,Total,Grandes,  94.1 ,  94.1 ,  79.1 ,  30.7 ,  64.6 ,  79.1 ,  92.1 ,  84.3 ,  48.5 ,  18.4 ,  62.7 ,  46.7 ,  92.1 ,  67.4 ,  77.3 ,  73.4 
2017,Region Pacifico,Sector Primario,Total,Total,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Primario,Total,Total,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Primario,Total,Total,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Primario,Total,Total,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Primario,Agricultura y ganadería,Total,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Primario,Agricultura y ganadería,Total,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Primario,Agricultura y ganadería,Total,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Primario,Agricultura y ganadería,Total,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Primario,Minas y canteras,Total,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Primario,Minas y canteras,Total,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Primario,Minas y canteras,Total,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Primario,Minas y canteras,Total,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Secundario,Total,Total,Total,  43.0 ,  43.0 ,  30.5 ,  18.5 ,  26.9 ,  30.3 ,  52.4 ,  39.1 ,  14.7 ,  3.4 ,  12.0 ,  11.6 ,  66.3 ,  29.7 ,  44.3 ,  33.0 
2017,Region Pacifico,Sector Secundario,Total,Total,Micros,  30.2 ,  30.2 ,  19.0 ,  10.6 ,  16.5 ,  9.6 ,  45.6 ,  24.0 ,  3.6 ,  4.7 ,  5.2 ,  4.3 ,  55.3 ,  21.0 ,  34.7 ,  21.9 
2017,Region Pacifico,Sector Secundario,Total,Total,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Secundario,Total,Total,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Total,Total,  41.2 ,  41.2 ,  29.0 ,  15.8 ,  25.0 ,  30.4 ,  50.2 ,  38.3 ,  9.6 ,  3.9 ,  8.0 ,  8.0 ,  65.8 ,  28.1 ,  43.2 ,  31.1 
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Total,Micros,  28.4 ,  28.4 ,  18.6 ,  9.9 ,  16.0 ,  10.5 ,  45.3 ,  24.5 ,  1.6 ,  5.2 ,  3.4 ,  2.9 ,  56.0 ,  20.8 ,  34.9 ,  21.3 
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Total,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Total,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
