Año,Region Geografica,Sector,Sector Economico,Sub sector,Tamaño de Empresa,Proporcion de las empresas que usan computador/laptop,Proporcion de las empresas que usan tablets o telefonos inteligentes,Proporcion de las empresa que usan internet,Proporcion de las empresas que se conectan a internet a traves de red contratada,Proporcion de las empresas con intranet,Proporcion de las empresas con LAN,Proporcion de las empresas con extranet, Infraestructura ,Porcentaje de los empleados q usan internet para sus labores,Porcentaje de las empresas que usan internet para email,Porcentaje de las empresas que usan internet para Voip,Porcentaje de las empresas que usan internet para mensaje,Porcentaje de las empresas que usan internet para capacitacion, Procesamiento ,Porcentaje de los negocios que usan internet para obtener informacion sobre bienes y servicios,Porcentaje de los negocios que usan internet para obtener informacion sobre el gobierno,"Porcentaje de los negocios que usan internet para interactuar (tramites, PQR) con el gobierno",Porcentaje de los negocios que usan internet para acceso a bancos,Porcentaje de los negocios que usan internet para compras,Porcentaje de las compras realizadas a traves de comercio electronico,Porcentaje de las empresas q realizan los pagos a proveedores o colaboradores a traves de internet,Porcentaje de las empresas que usan internet para contratar empleados,Facilidad para acceder a presonas capacitadas (4 o 5), Insumos ,Porcentaje de los negocios que usan internet para atencion a los clientes,Porcentaje de los negocios que usan internet para ventas,Porcentaje de las VENTAS realizadas a traves de comercio electronico sobre valor de ventas,Porcentaje de los negocios que reciben ordenes por internet,Porcentaje de los negocios que distribuyen productos en linea,Porcentaje de distribucion fisico vs digital,Porcentaje de empresas con medios de pago electronico para los clientes,Porcentaje de las empresas que tiene pagina WEB,Porcentaje de las empresas que tiene presencia en redes sociales,Porcentaje delas empresas que tienen aplicaciones moviles, Distribucion , Calculo del Indice 
2015,Region Central,Sector Terciario,Servicios,Administración pública y defensa,Micros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Central,Sector Terciario,Servicios,Administración pública y defensa,Pymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Central,Sector Terciario,Servicios,Administración pública y defensa,Grandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Central,Sector Terciario,Servicios,Educación,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Central,Sector Terciario,Servicios,Educación,Micros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Central,Sector Terciario,Servicios,Educación,Pymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Central,Sector Terciario,Servicios,Educación,Grandes,100%,79%,100%,100%,93%,100%,86%,  94 ,96%,100%,93%,63%,93%,  92 ,100%,100%,98%,100%,95%,17%,10%,86%,93%,  76 ,98%,81%,19%,86%,91%,91%,49%,100%,100%,20%,  75 ,  84 
2015,Region Central,Sector Terciario,Servicios,Atencion de salud y de asistencia social,Total,95%,32%,91%,41%,14%,14%,14%,  52 ,31%,73%,9%,46%,9%,  32 ,46%,76%,15%,30%,56%,56%,9%,9%,9%,  36 ,55%,6%,6%,6%,7%,7%,73%,14%,24%,60%,  22 ,  36 
2015,Region Central,Sector Terciario,Servicios,Atencion de salud y de asistencia social,Micros,94%,26%,90%,35%,12%,12%,12%,  49 ,31%,72%,9%,45%,9%,  32 ,45%,80%,13%,30%,57%,57%,9%,9%,9%,  37 ,54%,1%,1%,1%,7%,7%,70%,9%,16%,57%,  19 ,  34 
2015,Region Central,Sector Terciario,Servicios,Atencion de salud y de asistencia social,Pymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Central,Sector Terciario,Servicios,Atencion de salud y de asistencia social,Grandes,100%,69%,100%,100%,98%,100%,69%,  90 ,76%,100%,85%,63%,86%,  83 ,96%,100%,91%,98%,73%,11%,10%,79%,86%,  69 ,95%,27%,3%,58%,38%,38%,48%,86%,86%,17%,  48 ,  73 
2015,Region Central,Sector Terciario,Servicios,"Actividades artísticas, de entretenimiento y recreación",Total,73%,56%,52%,20%,7%,7%,7%,  40 ,31%,41%,5%,26%,5%,  22 ,26%,14%,0%,17%,7%,7%,5%,5%,5%,  10 ,31%,0%,0%,0%,4%,4%,49%,55%,51%,0%,  17 ,  22 
2015,Region Central,Sector Terciario,Servicios,"Actividades artísticas, de entretenimiento y recreación",Micros,73%,56%,52%,20%,7%,7%,7%,  40 ,31%,41%,5%,26%,5%,  22 ,26%,14%,0%,17%,7%,7%,5%,5%,5%,  10 ,31%,0%,0%,0%,4%,4%,49%,55%,51%,0%,  17 ,  22 
2015,Region Central,Sector Terciario,Servicios,"Actividades artísticas, de entretenimiento y recreación",Pymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Central,Sector Terciario,Servicios,"Actividades artísticas, de entretenimiento y recreación",Grandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Central,Sector Terciario,Servicios,Otros servicios,Total,72%,44%,69%,44%,18%,18%,15%,46,33%,57%,11%,35%,11%,29,37%,24%,27%,26%,38%,35%,7%,10%,11%,26,43%,6%,5%,7%,7%,7%,20%,37%,50%,9%,17,29
2015,Region Central,Sector Terciario,Servicios,Otros servicios,Micros,65%,40%,62%,39%,13%,13%,13%,  41 ,31%,50%,6%,31%,6%,  25 ,31%,23%,18%,21%,33%,33%,6%,6%,6%,  22 ,37%,5%,5%,5%,5%,5%,13%,23%,40%,10%,  13 ,  25 
2015,Region Central,Sector Terciario,Servicios,Otros servicios,Pymes,98%,50%,98%,53%,18%,18%,18%,  60 ,31%,79%,10%,49%,10%,  34 ,49%,5%,50%,32%,52%,52%,10%,10%,10%,  34 ,59%,7%,7%,7%,8%,8%,48%,98%,95%,0%,  30 ,  39 
2015,Region Central,Sector Terciario,Servicios,Otros servicios,Grandes,100%,88%,100%,100%,94%,100%,47%,  92 ,71%,100%,94%,63%,88%,  84 ,100%,100%,94%,94%,71%,19%,10%,65%,88%,  69 ,100%,18%,3%,47%,35%,35%,50%,77%,77%,15%,  43 ,  72 
2015,Region Oriental,Total,Total,Total,Total,61%,46%,59%,45%,18%,19%,16%,43,12%,48%,9%,30%,9%,20,32%,19%,10%,22%,17%,14%,6%,9%,9%,17,37%,8%,7%,9%,8%,8%,24%,16%,26%,3%,14,23
2015,Region Oriental,Total,Total,Total,Micros,51%,39%,52%,35%,12%,12%,12%,  35 ,10%,42%,5%,26%,5%,  16 ,26%,12%,4%,17%,11%,11%,5%,5%,5%,  12 ,31%,7%,7%,7%,4%,4%,16%,8%,21%,2%,  10 ,  18 
2015,Region Oriental,Total,Total,Total,Pymes,98%,77%,82%,81%,27%,27%,27%,  68 ,10%,65%,8%,41%,8%,  23 ,41%,34%,13%,27%,33%,33%,8%,8%,8%,  25 ,49%,6%,6%,6%,6%,6%,61%,35%,35%,4%,  20 ,  34 
2015,Region Oriental,Total,Total,Total,Grandes,100%,64%,100%,100%,86%,100%,53%,  87 ,51%,100%,74%,63%,71%,  71 ,96%,95%,90%,95%,72%,14%,10%,71%,71%,  67 ,92%,34%,8%,56%,71%,71%,46%,85%,85%,17%,  54 ,  70 
2015,Region Oriental,Sector Primario,Total,Total,Total,100%,62%,100%,99%,33%,33%,33%,  72 ,10%,80%,10%,50%,10%,  28 ,50%,58%,57%,33%,2%,2%,10%,10%,10%,  23 ,60%,2%,2%,2%,8%,8%,2%,2%,2%,3%,  9 ,  33 
2015,Region Oriental,Sector Primario,Total,Total,Micros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Primario,Total,Total,Pymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Primario,Total,Total,Grandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Primario,Agricultura y ganadería,Total,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Primario,Agricultura y ganadería,Total,Micros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Primario,Agricultura y ganadería,Total,Pymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Primario,Agricultura y ganadería,Total,Grandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Primario,Minas y canteras,Total,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Primario,Minas y canteras,Total,Micros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Primario,Minas y canteras,Total,Pymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Primario,Minas y canteras,Total,Grandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Secundario,Total,Total,Total,68%,48%,68%,54%,21%,21%,19%,49,23%,55%,10%,35%,9%,26,36%,24%,13%,26%,15%,11%,7%,10%,9%,18,42%,2%,1%,4%,6%,6%,15%,11%,16%,1%,10,25
2015,Region Oriental,Sector Secundario,Total,Total,Micros,60%,40%,60%,42%,14%,14%,14%,  41 ,22%,48%,6%,30%,6%,  22 ,30%,19%,8%,20%,11%,11%,6%,6%,6%,  14 ,36%,0%,0%,0%,5%,5%,3%,3%,10%,0%,  5 ,  20 
2015,Region Oriental,Sector Secundario,Total,Total,Pymes,100%,79%,100%,100%,33%,33%,33%,  76 ,22%,80%,10%,50%,10%,  32 ,50%,23%,13%,33%,14%,14%,10%,10%,10%,  21 ,60%,4%,4%,4%,8%,8%,71%,25%,21%,1%,  20 ,  37 
2015,Region Oriental,Sector Secundario,Total,Total,Grandes,100%,82%,100%,100%,88%,100%,47%,  90 ,36%,100%,82%,63%,59%,  65 ,94%,100%,94%,94%,76%,6%,10%,65%,59%,  66 ,82%,29%,8%,76%,24%,24%,41%,100%,100%,20%,  50 ,  68 
2015,Region Oriental,Sector Secundario,Industrias manufactureras,Total,Total,62%,58%,62%,48%,19%,20%,17%,47,23%,51%,10%,31%,8%,24,33%,25%,10%,23%,27%,24%,6%,9%,8%,21,38%,3%,2%,5%,6%,6%,11%,17%,22%,2%,10,25
2015,Region Oriental,Sector Secundario,Industrias manufactureras,Total,Micros,52%,55%,52%,35%,12%,12%,12%,  39 ,22%,42%,5%,26%,5%,  20 ,26%,17%,3%,17%,22%,22%,5%,5%,5%,  16 ,31%,0%,0%,0%,4%,4%,3%,3%,12%,0%,  5 ,  20 
2015,Region Oriental,Sector Secundario,Industrias manufactureras,Total,Pymes,100%,67%,100%,100%,33%,33%,33%,  73 ,22%,80%,10%,50%,10%,  32 ,50%,44%,18%,33%,39%,39%,10%,10%,10%,  30 ,60%,10%,10%,10%,8%,8%,45%,67%,52%,6%,  26 ,  40 
2015,Region Oriental,Sector Secundario,Industrias manufactureras,Total,Grandes,100%,82%,100%,100%,88%,100%,47%,  90 ,36%,100%,82%,63%,59%,  65 ,94%,100%,94%,94%,76%,6%,10%,65%,59%,  66 ,82%,29%,8%,76%,24%,24%,41%,100%,100%,20%,  50 ,  68 
2015,Region Oriental,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Micros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Pymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Grandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Micros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Pymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Grandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Micros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Pymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Grandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Micros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Pymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Grandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Secundario,Industrias manufactureras,Madera y muebles,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Secundario,Industrias manufactureras,Madera y muebles,Micros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Secundario,Industrias manufactureras,Madera y muebles,Pymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Secundario,Industrias manufactureras,Madera y muebles,Grandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Secundario,Industrias manufactureras,Papel e impresión,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Secundario,Industrias manufactureras,Papel e impresión,Micros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Secundario,Industrias manufactureras,Papel e impresión,Pymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Secundario,Industrias manufactureras,Papel e impresión,Grandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Secundario,Industrias manufactureras,Otros manufactura,Total,59%,96%,59%,10%,3%,3%,3%,  45 ,22%,47%,6%,30%,6%,  22 ,30%,5%,0%,20%,54%,54%,6%,6%,6%,  25 ,35%,2%,2%,2%,5%,5%,4%,10%,5%,2%,  7 ,  25 
2015,Region Oriental,Sector Secundario,Industrias manufactureras,Otros manufactura,Micros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Secundario,Industrias manufactureras,Otros manufactura,Pymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Secundario,Industrias manufactureras,Otros manufactura,Grandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Secundario,Servicios Publicos,Total,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Secundario,Servicios Publicos,Total,Micros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Secundario,Servicios Publicos,Total,Pymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Secundario,Servicios Publicos,Total,Grandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Secundario,Construccion,Total,Total,79%,27%,79%,48%,16%,16%,16%,  47 ,22%,63%,8%,39%,8%,  26 ,39%,22%,18%,26%,3%,3%,8%,8%,8%,  15 ,47%,1%,1%,1%,6%,6%,23%,5%,2%,0%,  9 ,  24 
2015,Region Oriental,Sector Secundario,Construccion,Total,Micros,71%,5%,70%,27%,9%,9%,9%,  35 ,22%,56%,7%,35%,7%,  24 ,35%,23%,22%,23%,1%,1%,7%,7%,7%,  14 ,42%,0%,0%,0%,5%,5%,0%,2%,0%,0%,  5 ,  20 
2015,Region Oriental,Sector Secundario,Construccion,Total,Pymes,100%,84%,100%,100%,33%,33%,33%,  77 ,22%,80%,10%,50%,10%,  32 ,50%,17%,6%,33%,7%,7%,10%,10%,10%,  18 ,60%,4%,4%,4%,8%,8%,83%,10%,5%,0%,  19 ,  36 
2015,Region Oriental,Sector Secundario,Construccion,Total,Grandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Terciario,Total,Total,Total,60%,45%,57%,42%,17%,17%,15%,41,32%,46%,9%,28%,9%,25,30%,19%,9%,22%,19%,17%,6%,9%,9%,16,35%,8%,7%,9%,7%,7%,26%,17%,29%,4%,14,25
2015,Region Oriental,Sector Terciario,Total,Total,Micros,50%,38%,51%,33%,11%,11%,11%,  34 ,31%,41%,5%,25%,5%,  22 ,25%,10%,3%,17%,11%,11%,5%,5%,5%,  11 ,30%,7%,7%,7%,4%,4%,18%,9%,23%,3%,  11 ,  20 
2015,Region Oriental,Sector Terciario,Total,Total,Pymes,97%,76%,72%,72%,24%,24%,24%,  64 ,31%,58%,7%,36%,7%,  27 ,36%,39%,12%,24%,42%,42%,7%,7%,7%,  27 ,43%,6%,6%,6%,6%,6%,59%,40%,42%,5%,  20 ,  34 
2015,Region Oriental,Sector Terciario,Total,Total,Grandes,100%,60%,100%,100%,85%,100%,55%,  86 ,60%,96%,73%,60%,76%,  73 ,96%,96%,89%,96%,72%,35%,10%,72%,76%,  69 ,94%,35%,7%,52%,48%,48%,47%,82%,82%,16%,  50 ,  69 
2015,Region Oriental,Sector Terciario,Comercio,Total,Total,54%,50%,47%,37%,15%,16%,13%,38,20%,39%,9%,25%,8%,20,26%,17%,8%,19%,20%,16%,4%,8%,8%,15,30%,7%,5%,9%,3%,3%,32%,12%,24%,3%,12,22
2015,Region Oriental,Sector Terciario,Comercio,Total,Micros,43%,39%,43%,30%,10%,10%,10%,  31 ,18%,35%,4%,22%,4%,  16 ,22%,9%,2%,14%,8%,8%,4%,4%,4%,  9 ,26%,6%,6%,6%,3%,3%,20%,3%,17%,2%,  9 ,  17 
2015,Region Oriental,Sector Terciario,Comercio,Total,Pymes,100%,97%,53%,53%,18%,18%,18%,  61 ,18%,42%,5%,26%,5%,  19 ,26%,34%,11%,17%,59%,59%,5%,5%,5%,  29 ,32%,1%,1%,1%,4%,4%,90%,29%,35%,3%,  18 ,  31 
2015,Region Oriental,Sector Terciario,Comercio,Total,Grandes,100%,84%,100%,100%,83%,100%,46%,  90 ,66%,99%,92%,62%,90%,  82 ,98%,98%,97%,99%,85%,13%,10%,88%,90%,  73 ,94%,38%,7%,76%,4%,4%,47%,96%,96%,19%,  50 ,  74 
2015,Region Oriental,Sector Terciario,Servicios,Total,Total,66%,40%,67%,49%,19%,19%,17%,46,32%,55%,10%,34%,10%,28,36%,21%,9%,25%,19%,16%,7%,10%,10%,18,42%,11%,9%,11%,7%,7%,18%,25%,35%,4%,16,27
2015,Region Oriental,Sector Terciario,Servicios,Total,Micros,59%,37%,60%,37%,12%,12%,12%,  39 ,31%,48%,6%,30%,6%,  24 ,30%,12%,3%,20%,15%,15%,6%,6%,6%,  14 ,36%,9%,9%,9%,5%,5%,15%,16%,30%,3%,  13 ,  22 
2015,Region Oriental,Sector Terciario,Servicios,Total,Pymes,94%,53%,94%,94%,31%,31%,31%,  67 ,31%,75%,9%,47%,9%,  33 ,47%,45%,13%,31%,23%,23%,9%,9%,9%,  24 ,56%,11%,11%,11%,7%,7%,24%,53%,49%,7%,  22 ,  37 
2015,Region Oriental,Sector Terciario,Servicios,Total,Grandes,100%,56%,100%,100%,89%,100%,59%,  86 ,55%,100%,71%,63%,71%,  71 ,96%,94%,87%,94%,67%,13%,10%,70%,71%,  65 ,96%,33%,9%,48%,37%,37%,48%,80%,80%,16%,  48 ,  67 
2015,Region Oriental,Sector Terciario,Servicios,Transporte y almacenamiento,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Terciario,Servicios,Transporte y almacenamiento,Micros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Terciario,Servicios,Transporte y almacenamiento,Pymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Terciario,Servicios,Transporte y almacenamiento,Grandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Terciario,Servicios,Alojamiento y servicios de comida,Total,30%,20%,42%,24%,8%,8%,8%,  23 ,31%,34%,4%,21%,4%,  20 ,21%,17%,0%,14%,0%,0%,4%,4%,4%,  7 ,25%,0%,0%,0%,3%,3%,6%,10%,10%,0%,  5 ,  14 
2015,Region Oriental,Sector Terciario,Servicios,Alojamiento y servicios de comida,Micros,30%,20%,42%,23%,8%,8%,8%,  23 ,31%,34%,4%,21%,4%,  20 ,21%,17%,0%,14%,0%,0%,4%,4%,4%,  7 ,25%,0%,0%,0%,3%,3%,6%,10%,10%,0%,  5 ,  14 
2015,Region Oriental,Sector Terciario,Servicios,Alojamiento y servicios de comida,Pymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Terciario,Servicios,Alojamiento y servicios de comida,Grandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Terciario,Servicios,Información y comunicaciones,Total,100%,6%,100%,77%,26%,26%,26%,  57 ,31%,80%,10%,50%,10%,  34 ,50%,2%,1%,33%,4%,4%,10%,10%,10%,  15 ,60%,1%,1%,1%,8%,8%,2%,5%,3%,0%,  9 ,  29 
2015,Region Oriental,Sector Terciario,Servicios,Información y comunicaciones,Micros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Terciario,Servicios,Información y comunicaciones,Pymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Terciario,Servicios,Información y comunicaciones,Grandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Terciario,Servicios,Actividades financieras y de seguros,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Terciario,Servicios,Actividades financieras y de seguros,Micros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Terciario,Servicios,Actividades financieras y de seguros,Pymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Terciario,Servicios,Actividades financieras y de seguros,Grandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Terciario,Servicios,Actividades inmobiliarias y Actividades de servicios administrativos y de apoyo,Total,100%,76%,63%,44%,15%,15%,15%,  57 ,31%,51%,6%,32%,6%,  25 ,32%,24%,20%,21%,36%,36%,6%,6%,6%,  23 ,38%,54%,54%,54%,5%,5%,20%,42%,74%,16%,  39 ,  36 
2015,Region Oriental,Sector Terciario,Servicios,Actividades inmobiliarias y Actividades de servicios administrativos y de apoyo,Micros,100%,78%,61%,41%,14%,14%,14%,  56 ,31%,49%,6%,30%,6%,  25 ,30%,23%,19%,20%,38%,38%,6%,6%,6%,  23 ,36%,58%,58%,58%,5%,5%,19%,41%,77%,17%,  41 ,  36 
2015,Region Oriental,Sector Terciario,Servicios,Actividades inmobiliarias y Actividades de servicios administrativos y de apoyo,Pymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Terciario,Servicios,Actividades inmobiliarias y Actividades de servicios administrativos y de apoyo,Grandes,100%,56%,100%,100%,88%,100%,47%,  85 ,29%,100%,56%,63%,59%,  58 ,94%,88%,84%,94%,47%,4%,10%,59%,59%,  58 ,91%,25%,9%,38%,34%,34%,45%,69%,69%,14%,  41 ,  61 
2015,Region Oriental,Sector Terciario,Servicios,"Actividades profesionales, científicas y técnicas",Total,94%,58%,100%,56%,19%,19%,19%,  62 ,31%,80%,10%,50%,10%,  34 ,50%,16%,8%,33%,51%,51%,10%,10%,10%,  31 ,60%,21%,21%,21%,8%,8%,18%,37%,67%,7%,  26 ,  38 
2015,Region Oriental,Sector Terciario,Servicios,"Actividades profesionales, científicas y técnicas",Micros,94%,59%,100%,54%,18%,18%,18%,  61 ,31%,80%,10%,50%,10%,  34 ,50%,13%,8%,33%,53%,53%,10%,10%,10%,  31 ,60%,22%,22%,22%,8%,8%,18%,38%,67%,7%,  26 ,  38 
2015,Region Oriental,Sector Terciario,Servicios,"Actividades profesionales, científicas y técnicas",Pymes,100%,33%,100%,100%,33%,33%,33%,  67 ,31%,80%,10%,50%,10%,  34 ,50%,85%,11%,33%,18%,18%,10%,10%,10%,  27 ,60%,11%,11%,11%,8%,8%,5%,15%,71%,0%,  18 ,  36 
2015,Region Oriental,Sector Terciario,Servicios,"Actividades profesionales, científicas y técnicas",Grandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Terciario,Servicios,Administración pública y defensa,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Terciario,Servicios,Administración pública y defensa,Micros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Terciario,Servicios,Administración pública y defensa,Pymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Terciario,Servicios,Administración pública y defensa,Grandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Terciario,Servicios,Educación,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Terciario,Servicios,Educación,Micros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Terciario,Servicios,Educación,Pymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Terciario,Servicios,Educación,Grandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Terciario,Servicios,Atencion de salud y de asistencia social,Total,56%,5%,56%,56%,19%,19%,19%,  35 ,31%,45%,6%,28%,6%,  23 ,28%,5%,5%,18%,5%,5%,6%,6%,6%,  10 ,34%,0%,0%,0%,4%,4%,8%,8%,5%,0%,  6 ,  18 
2015,Region Oriental,Sector Terciario,Servicios,Atencion de salud y de asistencia social,Micros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region Oriental,Sector Terciario,Servicios,Atencion de salud y de asistencia social,Pymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
