Año,Region Geografica,Sector,Sector Economico,Sub sector,Tamaño de Empresa,Porcentaje de las empresas con ciberseguridad,Porcentaje de las empresas con ciberseguridad en plan de implementación,Porcentaje de las empresas con computación en la nube ,Porcentaje de las empresas con computación en la nube en plan de implementación,INFRAESTRUCTURA,Porcentaje de las empresas con sensores/M2M/IOT,Porcentaje de las empresas con sensores/M2M/IOT en plan de implementación,Porcentaje de las empresas con robótica,Porcentaje de las empresas con robótica en plan de implementacion,Porcentaje de las empresas con impresoras 3D,Porcentaje de las empresas con impresoras 3D en plan de implementación,Porcentaje de las empresas con realidad virtual,Porcentaje de las empresas con realidad virtual en plan de implementación,PROCESAMIENTO,Porcentaje de las empresas con Big Data,Porcentaje de las empresas con Big Data en plan de implementación,Porcentaje de las empresas con inteligencia artificial,Porcentaje de las empresas con inteligencia artificial en plan de implementación,Porcentaje de las empresas con block chain,Porcentaje de las empresas con block chain en plan de implementación, DISTRIBUCION , Calculo del Indice 
2017,Total,Sector Terciario,Servicios,Educación,Pymes,41.8%,17.0%,36.9%,20.1%,31,11.0%,10.8%,6.9%,11.2%,12.1%,0.7%,0.0%,19.1%,8,10.5%,9.9%,0.0%,4.6%,0.0%,3.5%,  4 ,  14 
2017,Total,Sector Terciario,Servicios,Educación,Grandes,74.3%,0.0%,71.7%,14.4%,47,42.1%,16.8%,40.7%,0.0%,30.7%,10.0%,30.7%,13.9%,31,26.8%,21.2%,16.8%,10.0%,13.9%,0.0%,  17 ,  32 
2017,Total,Sector Terciario,Servicios,Atencion de salud y de asistencia social,Total,47.0%,13.9%,26.2%,9.1%,27,17.1%,4.1%,0.0%,1.5%,0.0%,0.0%,0.0%,5.5%,4,0.0%,2.5%,0.0%,0.7%,0.0%,1.5%,  -   ,  10 
2017,Total,Sector Terciario,Servicios,Atencion de salud y de asistencia social,Micros,47.1%,3.8%,1.3%,8.8%,17,24.1%,2.5%,0.0%,2.7%,0.0%,0.0%,0.0%,7.7%,5,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%, - ,  8 
2017,Total,Sector Terciario,Servicios,Atencion de salud y de asistencia social,Pymes,48.2%,28.8%,61.2%,6.1%,40,8.2%,8.9%,0.0%,0.0%,0.0%,0.0%,0.0%,4.1%,2,0.0%,6.0%,0.0%,2.4%,0.0%,4.8%,  1 ,  14 
2017,Total,Sector Terciario,Servicios,Atencion de salud y de asistencia social,Grandes,44.0%,21.4%,47.6%,17.0%,35,8.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2,0.0%,4.4%,0.0%,0.0%,0.0%,0.0%,  -   ,  12 
2017,Total,Sector Terciario,Servicios,"Actividades artísticas, de entretenimiento y recreación",Total,37.9%,9.4%,12.2%,1.0%,17,21.7%,10.8%,0.0%,2.0%,0.0%,5.9%,0.9%,12.8%,6,4.9%,0.0%,0.0%,2.9%,1.0%,0.0%,  2 ,  8 
2017,Total,Sector Terciario,Servicios,"Actividades artísticas, de entretenimiento y recreación",Micros,35.7%,11.7%,4.9%,1.8%,15,15.0%,18.2%,0.0%,1.8%,0.0%,9.9%,0.0%,8.3%,5,0.0%,0.0%,0.0%,4.9%,0.0%,0.0%,  -   ,  7 
2017,Total,Sector Terciario,Servicios,"Actividades artísticas, de entretenimiento y recreación",Pymes,24.7%,7.7%,20.0%,0.0%,15,15.4%,0.0%,0.0%,3.1%,0.0%,0.0%,2.9%,0.0%,4,6.1%,0.0%,0.0%,0.0%,0.0%,0.0%,  2 ,  7 
2017,Total,Sector Terciario,Servicios,"Actividades artísticas, de entretenimiento y recreación",Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Total,Sector Terciario,Servicios,Otros servicios,Total,,,,,,,,,,,,,,,,,,,,,,
2017,Total,Sector Terciario,Servicios,Otros servicios,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Total,Sector Terciario,Servicios,Otros servicios,Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Total,Sector Terciario,Servicios,Otros servicios,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Total,Total,Total,Total,29.4%,19.1%,17.4%,12.9%,20,13.8%,12.9%,0.3%,4.2%,3.4%,10.1%,0.1%,7.3%,5,0.7%,4.1%,0.7%,1.8%,0.9%,1.9%,  1 ,  9 
2017,Region Atlantico,Total,Total,Total,Micros,26.1%,20.6%,12.4%,13.7%,18,11.9%,14.7%,0.0%,1.4%,3.4%,10.0%,0.0%,4.2%,5,1.1%,1.4%,0.0%,1.6%,0.3%,0.6%,  1 ,  8 
2017,Region Atlantico,Total,Total,Total,Pymes,28.4%,18.5%,21.3%,11.4%,21,12.9%,9.8%,0.5%,7.8%,3.3%,11.0%,0.0%,10.2%,5,0.0%,5.7%,0.0%,2.3%,1.6%,3.5%,  1 ,  9 
2017,Region Atlantico,Total,Total,Total,Grandes,74.6%,6.3%,39.2%,17.2%,39,41.9%,18.9%,1.1%,3.5%,4.7%,3.5%,1.1%,16.2%,12,1.1%,19.7%,13.4%,0.0%,0.0%,3.5%,  6 ,  19 
2017,Region Atlantico,Sector Primario,Total,Total,Total,18.6%,5.4%,11.5%,3.5%,11,2.5%,9.8%,0.0%,0.0%,3.5%,0.8%,0.0%,1.7%,2,0.0%,0.8%,0.0%,0.0%,0.0%,0.0%,  -   ,  4 
2017,Region Atlantico,Sector Primario,Total,Total,Micros,34.8%,11.6%,0.0%,0.0%,13,0.0%,34.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%, - ,  5 
2017,Region Atlantico,Sector Primario,Total,Total,Pymes,11.7%,3.6%,14.2%,4.7%,9,2.3%,1.1%,0.0%,0.0%,4.7%,1.1%,0.0%,2.3%,2,0.0%,1.1%,0.0%,0.0%,0.0%,0.0%,  -   ,  4 
2017,Region Atlantico,Sector Primario,Total,Total,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Primario,Agricultura y ganadería,Total,Total,15.2%,6.1%,9.1%,3.0%,9,0.0%,9.1%,0.0%,0.0%,3.0%,0.0%,0.0%,0.0%,1,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%, - ,  3 
2017,Region Atlantico,Sector Primario,Agricultura y ganadería,Total,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Primario,Agricultura y ganadería,Total,Pymes,8.0%,4.0%,12.0%,4.0%,8,0.0%,0.0%,0.0%,0.0%,4.0%,0.0%,0.0%,0.0%,1,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%, - ,  3 
2017,Region Atlantico,Sector Primario,Agricultura y ganadería,Total,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Primario,Minas y canteras,Total,Total,46.2%,0.0%,30.8%,7.7%,25,23.1%,15.4%,0.0%,0.0%,7.7%,7.7%,0.0%,15.4%,8,0.0%,7.7%,0.0%,0.0%,0.0%,0.0%,  1 ,  11 
2017,Region Atlantico,Sector Primario,Minas y canteras,Total,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Primario,Minas y canteras,Total,Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Primario,Minas y canteras,Total,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Total,Total,Total,23.7%,12.4%,13.6%,13.9%,16,14.3%,14.3%,1.0%,5.5%,2.9%,4.8%,0.0%,7.5%,5,0.0%,6.5%,0.0%,1.4%,4.8%,2.6%,  2 ,  8 
2017,Region Atlantico,Sector Secundario,Total,Total,Micros,6.7%,24.2%,2.8%,15.8%,11,1.9%,24.2%,0.0%,1.9%,0.0%,0.0%,0.0%,4.7%,2,0.0%,1.9%,0.0%,3.9%,2.8%,4.7%,  2 ,  5 
2017,Region Atlantico,Sector Secundario,Total,Total,Pymes,27.2%,5.2%,18.7%,11.9%,17,17.0%,10.2%,1.7%,6.8%,3.5%,6.8%,0.0%,10.2%,6,0.0%,8.5%,0.0%,0.0%,6.8%,0.0%,  2 ,  9 
2017,Region Atlantico,Sector Secundario,Total,Total,Grandes,71.6%,11.9%,23.9%,20.2%,35,47.8%,0.0%,0.0%,11.9%,11.9%,11.9%,0.0%,0.0%,13,0.0%,11.9%,0.0%,0.0%,0.0%,11.9%,  2 ,  17 
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Total,Total,20.4%,14.8%,11.1%,9.3%,14,11.1%,11.1%,1.9%,1.9%,5.6%,1.9%,0.0%,5.6%,5,0.0%,3.7%,0.0%,0.0%,1.9%,3.7%,  1 ,  7 
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Total,Micros,4.0%,16.0%,4.0%,4.0%,6,0.0%,16.0%,0.0%,0.0%,0.0%,0.0%,0.0%,4.0%,1,0.0%,0.0%,0.0%,0.0%,4.0%,4.0%,  1 ,  3 
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Total,Pymes,18.2%,13.6%,13.6%,13.6%,15,9.1%,9.1%,4.5%,0.0%,9.1%,0.0%,0.0%,9.1%,5,0.0%,4.5%,0.0%,0.0%,0.0%,0.0%,  -   ,  7 
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Total,Grandes,85.7%,14.3%,28.6%,14.3%,40,57.1%,0.0%,0.0%,14.3%,14.3%,14.3%,0.0%,0.0%,16,0.0%,14.3%,0.0%,0.0%,0.0%,14.3%,  2 ,  19 
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Total,25.0%,12.5%,6.3%,18.8%,16,6.3%,6.3%,0.0%,0.0%,0.0%,0.0%,0.0%,6.3%,2,0.0%,0.0%,0.0%,0.0%,0.0%,6.3%,  1 ,  6 
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Total,16.7%,16.7%,8.3%,16.7%,14,0.0%,16.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1,0.0%,8.3%,0.0%,0.0%,0.0%,0.0%,  1 ,  5 
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Total,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Total,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Madera y muebles,Total,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Madera y muebles,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Madera y muebles,Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Madera y muebles,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Papel e impresión,Total,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Papel e impresión,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Papel e impresión,Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Papel e impresión,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Otros manufactura,Total,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Otros manufactura,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Otros manufactura,Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Otros manufactura,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Servicios Publicos,Total,Total,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Servicios Publicos,Total,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Servicios Publicos,Total,Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Servicios Publicos,Total,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Construccion,Total,Total,27.3%,9.1%,18.2%,18.2%,19,18.2%,18.2%,0.0%,9.1%,0.0%,9.1%,0.0%,9.1%,6,0.0%,9.1%,0.0%,0.0%,9.1%,0.0%,  3 ,  9 
2017,Region Atlantico,Sector Secundario,Construccion,Total,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Construccion,Total,Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Construccion,Total,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Total,Total,Total,31.0%,20.9%,18.4%,12.9%,22,14.0%,12.6%,0.1%,4.0%,3.5%,11.5%,0.1%,7.4%,5,0.8%,3.6%,0.8%,2.0%,0.0%,1.8%,  1 ,  9 
2017,Region Atlantico,Sector Terciario,Total,Total,Micros,28.6%,20.2%,13.8%,13.5%,19,13.3%,13.3%,0.0%,1.3%,3.9%,11.4%,0.0%,4.2%,5,1.3%,1.3%,0.0%,1.3%,0.0%,0.0%,  1 ,  8 
2017,Region Atlantico,Sector Terciario,Total,Total,Pymes,29.6%,23.7%,22.5%,11.6%,23,12.1%,10.1%,0.2%,8.5%,3.2%,12.8%,0.0%,10.6%,5,0.0%,5.0%,0.0%,3.2%,0.0%,4.8%,  1 ,  10 
2017,Region Atlantico,Sector Terciario,Total,Total,Grandes,75.6%,3.9%,45.6%,16.1%,40,39.3%,26.7%,1.6%,0.0%,1.6%,0.0%,1.6%,23.3%,11,1.6%,23.1%,19.2%,0.0%,0.0%,0.0%,  7 ,  20 
2017,Region Atlantico,Sector Terciario,Comercio,Total,Total,29.2%,16.7%,12.5%,16.7%,19,8.3%,8.3%,0.0%,4.2%,4.2%,16.7%,0.0%,4.2%,4,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%, - ,  8 
2017,Region Atlantico,Sector Terciario,Comercio,Total,Micros,31.3%,12.5%,12.5%,18.8%,19,12.5%,12.5%,0.0%,0.0%,6.3%,12.5%,0.0%,0.0%,5,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%, - ,  8 
2017,Region Atlantico,Sector Terciario,Comercio,Total,Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Comercio,Total,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,Total,Total,32.8%,25.0%,24.3%,9.2%,24,19.5%,16.9%,0.3%,3.8%,2.9%,6.3%,0.1%,10.6%,6,1.6%,7.2%,1.6%,3.9%,0.0%,3.6%,  2 ,  11 
2017,Region Atlantico,Sector Terciario,Servicios,Total,Micros,25.1%,30.6%,15.5%,6.6%,20,14.4%,14.3%,0.0%,3.0%,0.8%,10.0%,0.0%,9.7%,5,3.0%,3.0%,0.0%,3.0%,0.0%,0.0%,  1 ,  9 
2017,Region Atlantico,Sector Terciario,Servicios,Total,Pymes,33.1%,22.7%,30.3%,10.8%,26,21.6%,17.9%,0.3%,5.4%,5.7%,3.3%,0.0%,9.1%,7,0.0%,8.9%,0.0%,5.7%,0.0%,8.6%,  2 ,  12 
2017,Region Atlantico,Sector Terciario,Servicios,Total,Grandes,75.6%,3.9%,45.6%,16.1%,40,39.3%,26.7%,1.6%,0.0%,1.6%,0.0%,1.6%,23.3%,11,1.6%,23.1%,19.2%,0.0%,0.0%,0.0%,  7 ,  20 
2017,Region Atlantico,Sector Terciario,Servicios,Transporte y almacenamiento,Total,40.0%,10.0%,20.0%,10.0%,22,20.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,10.0%,5,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%, - ,  9 
2017,Region Atlantico,Sector Terciario,Servicios,Transporte y almacenamiento,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,Transporte y almacenamiento,Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,Transporte y almacenamiento,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,Alojamiento y servicios de comida,Total,0.0%,37.5%,6.3%,6.3%,11,0.0%,6.3%,0.0%,0.0%,0.0%,6.3%,0.0%,0.0%,1,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%, - ,  4 
2017,Region Atlantico,Sector Terciario,Servicios,Alojamiento y servicios de comida,Micros,0.0%,30.0%,10.0%,0.0%,9,0.0%,10.0%,0.0%,0.0%,0.0%,10.0%,0.0%,0.0%,1,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%, - ,  3 
2017,Region Atlantico,Sector Terciario,Servicios,Alojamiento y servicios de comida,Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,Alojamiento y servicios de comida,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,Información y comunicaciones,Total,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,Información y comunicaciones,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,Información y comunicaciones,Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,Información y comunicaciones,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,Actividades financieras y de seguros,Total,58.3%,8.3%,16.7%,8.3%,26,41.7%,16.7%,0.0%,0.0%,8.3%,0.0%,0.0%,16.7%,12,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%, - ,  13 
2017,Region Atlantico,Sector Terciario,Servicios,Actividades financieras y de seguros,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,Actividades financieras y de seguros,Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,Actividades financieras y de seguros,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,Actividades inmobiliarias y Actividades de servicios administrativos y de apoyo,Total,36.4%,31.8%,36.4%,9.1%,30,22.7%,31.8%,0.0%,9.1%,4.5%,4.5%,0.0%,9.1%,8,4.5%,13.6%,4.5%,9.1%,0.0%,9.1%,  5 ,  14 
2017,Region Atlantico,Sector Terciario,Servicios,Actividades inmobiliarias y Actividades de servicios administrativos y de apoyo,Micros,18.2%,45.5%,18.2%,9.1%,22,18.2%,18.2%,0.0%,9.1%,0.0%,9.1%,0.0%,9.1%,6,9.1%,0.0%,0.0%,9.1%,0.0%,0.0%,  3 ,  10 
2017,Region Atlantico,Sector Terciario,Servicios,Actividades inmobiliarias y Actividades de servicios administrativos y de apoyo,Pymes,50.0%,20.0%,50.0%,10.0%,36,30.0%,40.0%,0.0%,10.0%,10.0%,0.0%,0.0%,10.0%,11,0.0%,20.0%,0.0%,10.0%,0.0%,20.0%,  4 ,  17 
2017,Region Atlantico,Sector Terciario,Servicios,Actividades inmobiliarias y Actividades de servicios administrativos y de apoyo,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,"Actividades profesionales, científicas y técnicas",Total,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,"Actividades profesionales, científicas y técnicas",Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,"Actividades profesionales, científicas y técnicas",Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,"Actividades profesionales, científicas y técnicas",Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,Administración pública y defensa,Total,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,Administración pública y defensa,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,Administración pública y defensa,Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,Administración pública y defensa,Grandes,16.7%,33.3%,50.0%,16.7%,30,16.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,3,0.0%,33.3%,0.0%,0.0%,0.0%,0.0%,  3 ,  12 
2017,Region Atlantico,Sector Terciario,Servicios,Educación,Total,0.0%,9.5%,33.3%,4.8%,13,14.3%,4.8%,9.5%,4.8%,14.3%,4.8%,4.8%,4.8%,10,4.8%,9.5%,4.8%,9.5%,0.0%,0.0%,  4 ,  9 
2017,Region Atlantico,Sector Terciario,Servicios,Educación,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,Educación,Pymes,0.0%,8.3%,25.0%,8.3%,11,16.7%,0.0%,8.3%,8.3%,16.7%,8.3%,0.0%,8.3%,10,0.0%,8.3%,0.0%,16.7%,0.0%,0.0%,  2 ,  8 
2017,Region Atlantico,Sector Terciario,Servicios,Educación,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,Atencion de salud y de asistencia social,Total,32.0%,28.0%,36.0%,16.0%,29,28.0%,12.0%,0.0%,0.0%,0.0%,0.0%,0.0%,8.0%,7,0.0%,4.0%,0.0%,0.0%,0.0%,0.0%,  -   ,  12 
2017,Region Atlantico,Sector Terciario,Servicios,Atencion de salud y de asistencia social,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,Atencion de salud y de asistencia social,Pymes,40.0%,33.3%,33.3%,20.0%,33,26.7%,13.3%,0.0%,0.0%,0.0%,0.0%,0.0%,13.3%,7,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%, - ,  13 
2017,Region Atlantico,Sector Terciario,Servicios,Atencion de salud y de asistencia social,Grandes,28.6%,14.3%,57.1%,0.0%,29,28.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,6,0.0%,14.3%,0.0%,0.0%,0.0%,0.0%,  1 ,  12 
2017,Region Atlantico,Sector Terciario,Servicios,"Actividades artísticas, de entretenimiento y recreación",Total,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,"Actividades artísticas, de entretenimiento y recreación",Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,"Actividades artísticas, de entretenimiento y recreación",Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,"Actividades artísticas, de entretenimiento y recreación",Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,Otros servicios,Total,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,Otros servicios,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,Otros servicios,Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,Otros servicios,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Total,Total,Total,Total,7.5%,8.1%,14.2%,1.8%,8,1.9%,1.1%,0.2%,1.1%,1.2%,1.2%,0.2%,0.8%,1,0.5%,1.6%,0.2%,1.1%,0.2%,0.5%,  -   ,  3 
2017,Region Pacifico,Total,Total,Total,Micros,1.1%,10.0%,8.5%,0.4%,5,0.0%,0.2%,0.0%,1.2%,0.8%,0.8%,0.0%,0.8%,0,0.0%,0.9%,0.0%,0.4%,0.0%,0.4%,  -   ,  2 
2017,Region Pacifico,Total,Total,Total,Pymes,12.6%,6.1%,19.2%,3.6%,11,3.7%,1.8%,0.4%,1.0%,1.5%,1.9%,0.6%,1.0%,2,0.5%,2.7%,0.6%,1.5%,0.4%,0.6%,  1 ,  5 
2017,Region Pacifico,Total,Total,Total,Grandes,48.1%,2.6%,45.8%,3.6%,29,11.8%,8.2%,0.0%,0.0%,2.6%,0.0%,0.0%,0.0%,3,6.4%,2.6%,0.0%,6.4%,0.0%,0.0%,  2 ,  12 
2017,Region Pacifico,Sector Primario,Total,Total,Total,13.6%,3.8%,26.8%,0.0%,13,0.0%,3.8%,6.0%,0.0%,9.8%,0.0%,0.0%,6.0%,4,0.0%,9.8%,0.0%,6.0%,0.0%,0.0%,  1 ,  6 
2017,Region Pacifico,Sector Primario,Total,Total,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Primario,Total,Total,Pymes,8.0%,0.0%,25.6%,0.0%,10,0.0%,0.0%,8.0%,0.0%,8.0%,0.0%,0.0%,8.0%,4,0.0%,8.0%,0.0%,8.0%,0.0%,0.0%,  1 ,  5 
2017,Region Pacifico,Sector Primario,Total,Total,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Primario,Agricultura y ganadería,Total,Total,8.7%,4.3%,30.4%,0.0%,13,0.0%,4.3%,0.0%,0.0%,4.3%,0.0%,0.0%,0.0%,1,0.0%,4.3%,0.0%,0.0%,0.0%,0.0%,  -   ,  5 
2017,Region Pacifico,Sector Primario,Agricultura y ganadería,Total,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Primario,Agricultura y ganadería,Total,Pymes,0.0%,0.0%,27.8%,0.0%,8,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%, - ,  3 
2017,Region Pacifico,Sector Primario,Agricultura y ganadería,Total,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Primario,Minas y canteras,Total,Total,,,,,,,,,,,,,,,,,,,,,,
