Año,Region Geografica,Sector,Sector Economico,Sub sector,Tamaño de Empresa,Porcentaje de las empresas con una estrategia digital específica ,Porcentaje de las empresas abiertas a una transformación digital ,Porcentaje de las empresas que desarrollaron la estrategia y ya esta implementada,Porcentaje de las empresas que desarrollaron la estrategia y esta en proceso de implementacion en 2 años ,Porcentaje de las emrpesas que estan midiendo la transformación digital ,Porcentaje de las empresas que han definido indicadores de desempeño, ESTRATEGIA ,Quien dirigue la estrategia digital de la empresa? ,Quién es el responsable de desarrollar la vision empresarial de los negocios digitales de su organización? , GOBERNANZA ,Porcentaje de las empresas cuyos empleados estan preparados para una estrategia digital ,Porcentaje de las empresas cuyos RRHH son adecuados/suficientes para desarrollar la transfromacion digital , CAPITAL HUMANO , Calculo del Indice 
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Micros,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Pymes,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Grandes,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Total,8.3%,0.0%,0.0%,16.7%,8.3%,8.3%,  7 ,40.0%,38.3%,  39 ,8.3%,16.7%,  13 ,  19 
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Micros,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Pymes,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Grandes,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Total,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Micros,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Pymes,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Grandes,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Total,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Micros,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Pymes,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Grandes,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Madera y muebles,Total,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Madera y muebles,Micros,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Madera y muebles,Pymes,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Madera y muebles,Grandes,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Papel e impresión,Total,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Papel e impresión,Micros,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Papel e impresión,Pymes,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Papel e impresión,Grandes,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Otros manufactura,Total,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Otros manufactura,Micros,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Otros manufactura,Pymes,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Otros manufactura,Grandes,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Servicios Publicos,Total,Total,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Servicios Publicos,Total,Micros,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Servicios Publicos,Total,Pymes,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Servicios Publicos,Total,Grandes,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Construccion,Total,Total,0.0%,36.4%,0.0%,0.0%,36.4%,0.0%,  11 ,36.4%,34.5%,  35 ,9.1%,36.4%,  23 ,  23 
2017,Region Atlantico,Sector Secundario,Construccion,Total,Micros,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Construccion,Total,Pymes,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Construccion,Total,Grandes,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Total,Total,Total,17.8%,38.4%,11.8%,11.3%,23.2%,15.6%,  19 ,44.0%,45.3%,  45 ,17.7%,41.4%,  30 ,  31 
2017,Region Atlantico,Sector Terciario,Total,Total,Micros,15.9%,29.3%,9.7%,13.1%,24.7%,14.1%,  17 ,37.5%,39.3%,  38 ,18.4%,36.8%,  28 ,  28 
2017,Region Atlantico,Sector Terciario,Total,Total,Pymes,17.6%,48.4%,15.8%,8.2%,16.6%,12.2%,  19 ,52.3%,53.0%,  53 ,14.3%,45.8%,  30 ,  34 
2017,Region Atlantico,Sector Terciario,Total,Total,Grandes,45.8%,73.0%,4.9%,14.9%,60.3%,65.2%,  42 ,58.1%,59.1%,  59 ,39.1%,66.5%,  53 ,  51 
2017,Region Atlantico,Sector Terciario,Comercio,Total,Total,16.7%,33.3%,16.7%,12.5%,25.0%,12.5%,  19 ,37.5%,38.3%,  38 ,16.7%,37.5%,  27 ,  28 
2017,Region Atlantico,Sector Terciario,Comercio,Total,Micros,18.8%,25.0%,12.5%,12.5%,31.3%,18.8%,  20 ,32.5%,32.5%,  33 ,18.8%,31.3%,  25 ,  26 
2017,Region Atlantico,Sector Terciario,Comercio,Total,Pymes,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Comercio,Total,Grandes,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,Total,Total,18.9%,43.4%,7.0%,10.2%,21.4%,18.6%,  19 ,50.4%,52.2%,  51 ,18.8%,45.3%,  32 ,  34 
2017,Region Atlantico,Sector Terciario,Servicios,Total,Micros,12.0%,35.1%,6.0%,14.0%,16.1%,8.0%,  14 ,44.3%,48.3%,  46 ,17.8%,44.1%,  31 ,  30 
2017,Region Atlantico,Sector Terciario,Servicios,Total,Pymes,21.6%,47.1%,8.7%,4.8%,19.7%,21.7%,  20 ,56.1%,55.4%,  56 ,15.7%,42.5%,  29 ,  35 
2017,Region Atlantico,Sector Terciario,Servicios,Total,Grandes,45.8%,73.0%,4.9%,14.9%,60.3%,65.2%,  42 ,58.1%,59.1%,  59 ,39.1%,66.5%,  53 ,  51 
2017,Region Atlantico,Sector Terciario,Servicios,Transporte y almacenamiento,Total,0.0%,20.0%,0.0%,20.0%,10.0%,20.0%,  8 ,20.0%,20.0%,  20 ,10.0%,10.0%,  10 ,  13 
2017,Region Atlantico,Sector Terciario,Servicios,Transporte y almacenamiento,Micros,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,Transporte y almacenamiento,Pymes,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,Transporte y almacenamiento,Grandes,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,Alojamiento y servicios de comida,Total,12.5%,31.3%,6.3%,6.3%,0.0%,6.3%,  9 ,37.5%,42.5%,  40 ,6.3%,43.8%,  25 ,  25 
2017,Region Atlantico,Sector Terciario,Servicios,Alojamiento y servicios de comida,Micros,10.0%,30.0%,10.0%,10.0%,0.0%,0.0%,  9 ,20.0%,28.0%,  24 ,10.0%,40.0%,  25 ,  19 
2017,Region Atlantico,Sector Terciario,Servicios,Alojamiento y servicios de comida,Pymes,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,Alojamiento y servicios de comida,Grandes,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,Información y comunicaciones,Total,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,Información y comunicaciones,Micros,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,Información y comunicaciones,Pymes,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,Información y comunicaciones,Grandes,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,Actividades financieras y de seguros,Total,16.7%,33.3%,8.3%,0.0%,16.7%,16.7%,  15 ,40.0%,40.0%,  40 ,33.3%,33.3%,  33 ,  29 
2017,Region Atlantico,Sector Terciario,Servicios,Actividades financieras y de seguros,Micros,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,Actividades financieras y de seguros,Pymes,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,Actividades financieras y de seguros,Grandes,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,Actividades inmobiliarias y Actividades de servicios administrativos y de apoyo,Total,31.8%,68.2%,13.6%,13.6%,36.4%,27.3%,  30 ,65.5%,68.2%,  67 ,22.7%,50.0%,  36 ,  45 
2017,Region Atlantico,Sector Terciario,Servicios,Actividades inmobiliarias y Actividades de servicios administrativos y de apoyo,Micros,18.2%,45.5%,9.1%,27.3%,27.3%,9.1%,  21 ,45.5%,52.7%,  49 ,18.2%,36.4%,  27 ,  32 
2017,Region Atlantico,Sector Terciario,Servicios,Actividades inmobiliarias y Actividades de servicios administrativos y de apoyo,Pymes,40.0%,90.0%,20.0%,0.0%,40.0%,40.0%,  37 ,86.0%,84.0%,  85 ,30.0%,60.0%,  45 ,  56 
2017,Region Atlantico,Sector Terciario,Servicios,Actividades inmobiliarias y Actividades de servicios administrativos y de apoyo,Grandes,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,"Actividades profesionales, científicas y técnicas",Total,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,"Actividades profesionales, científicas y técnicas",Micros,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,"Actividades profesionales, científicas y técnicas",Pymes,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,"Actividades profesionales, científicas y técnicas",Grandes,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,Administración pública y defensa,Total,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,Administración pública y defensa,Micros,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,Administración pública y defensa,Pymes,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,Administración pública y defensa,Grandes,16.7%,33.3%,0.0%,16.7%,16.7%,16.7%,  15 ,43.3%,46.7%,  45 ,0.0%,16.7%,  8 ,  23 
2017,Region Atlantico,Sector Terciario,Servicios,Educación,Total,4.8%,19.0%,14.3%,0.0%,4.8%,9.5%,  8 ,20.0%,24.8%,  22 ,14.3%,19.0%,  17 ,  16 
2017,Region Atlantico,Sector Terciario,Servicios,Educación,Micros,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,Educación,Pymes,8.3%,25.0%,16.7%,0.0%,8.3%,8.3%,  11 ,28.3%,28.3%,  28 ,16.7%,33.3%,  25 ,  21 
2017,Region Atlantico,Sector Terciario,Servicios,Educación,Grandes,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,Atencion de salud y de asistencia social,Total,16.0%,32.0%,4.0%,24.0%,12.0%,16.0%,  15 ,42.4%,40.8%,  42 ,12.0%,40.0%,  26 ,  28 
2017,Region Atlantico,Sector Terciario,Servicios,Atencion de salud y de asistencia social,Micros,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,Atencion de salud y de asistencia social,Pymes,26.7%,33.3%,0.0%,33.3%,13.3%,13.3%,  19 ,45.3%,45.3%,  45 ,20.0%,46.7%,  33 ,  32 
2017,Region Atlantico,Sector Terciario,Servicios,Atencion de salud y de asistencia social,Grandes,0.0%,28.6%,14.3%,14.3%,14.3%,28.6%,  13 ,25.7%,22.9%,  24 ,0.0%,28.6%,  14 ,  17 
2017,Region Atlantico,Sector Terciario,Servicios,"Actividades artísticas, de entretenimiento y recreación",Total,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,"Actividades artísticas, de entretenimiento y recreación",Micros,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,"Actividades artísticas, de entretenimiento y recreación",Pymes,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,"Actividades artísticas, de entretenimiento y recreación",Grandes,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,Otros servicios,Total,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,Otros servicios,Micros,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,Otros servicios,Pymes,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Terciario,Servicios,Otros servicios,Grandes,,,,,,,,,,,,,,
2017,Region Pacifico,Total,Total,Total,Total,4.8%,9.9%,0.9%,8.0%,8.1%,2.8%,  5 ,9.1%,10.6%,  10 ,7.1%,5.6%,  6 ,  7 
2017,Region Pacifico,Total,Total,Total,Micros,3.5%,10.6%,0.4%,11.2%,9.1%,0.6%,  5 ,8.6%,10.6%,  10 ,10.0%,4.3%,  7 ,  7 
2017,Region Pacifico,Total,Total,Total,Pymes,5.8%,8.7%,1.3%,4.0%,5.7%,4.3%,  5 ,8.7%,9.9%,  9 ,3.1%,6.6%,  5 ,  6 
2017,Region Pacifico,Total,Total,Total,Grandes,14.4%,12.6%,2.6%,3.6%,18.2%,18.2%,  12 ,20.2%,18.2%,  19 ,6.2%,14.6%,  10 ,  14 
2017,Region Pacifico,Sector Primario,Total,Total,Total,13.6%,9.8%,3.8%,0.0%,9.8%,3.8%,  8 ,12.9%,12.9%,  13 ,3.8%,3.8%,  4 ,  8 
2017,Region Pacifico,Sector Primario,Total,Total,Micros,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Primario,Total,Total,Pymes,8.0%,8.0%,0.0%,0.0%,8.0%,0.0%,  5 ,8.0%,8.0%,  8 ,0.0%,0.0%, - ,  4 
2017,Region Pacifico,Sector Primario,Total,Total,Grandes,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Primario,Agricultura y ganadería,Total,Total,8.7%,4.3%,4.3%,0.0%,4.3%,4.3%,  5 ,7.8%,7.8%,  8 ,4.3%,4.3%,  4 ,  6 
2017,Region Pacifico,Sector Primario,Agricultura y ganadería,Total,Micros,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Primario,Agricultura y ganadería,Total,Pymes,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%, - ,0.0%,0.0%, - ,0.0%,0.0%, - , - 
2017,Region Pacifico,Sector Primario,Agricultura y ganadería,Total,Grandes,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Primario,Minas y canteras,Total,Total,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Primario,Minas y canteras,Total,Micros,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Primario,Minas y canteras,Total,Pymes,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Primario,Minas y canteras,Total,Grandes,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Total,Total,Total,5.5%,8.6%,1.0%,3.6%,8.3%,4.6%,  5 ,10.7%,11.0%,  11 ,6.4%,7.5%,  7 ,  8 
2017,Region Pacifico,Sector Secundario,Total,Total,Micros,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Total,Total,Pymes,3.7%,7.7%,1.2%,1.2%,7.3%,3.7%,  4 ,9.4%,10.1%,  10 ,4.8%,5.8%,  5 ,  6 
2017,Region Pacifico,Sector Secundario,Total,Total,Grandes,11.9%,4.7%,0.0%,4.7%,11.9%,11.9%,  8 ,11.9%,11.0%,  11 ,4.7%,7.2%,  6 ,  9 
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Total,Total,6.9%,6.9%,1.4%,4.2%,8.3%,5.6%,  6 ,8.9%,8.6%,  9 ,5.6%,9.7%,  8 ,  7 
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Total,Micros,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Total,Pymes,5.6%,5.6%,1.9%,1.9%,7.4%,5.6%,  5 ,6.7%,6.7%,  7 ,3.7%,7.4%,  6 ,  6 
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Total,Grandes,10.0%,0.0%,0.0%,0.0%,10.0%,10.0%,  6 ,10.0%,10.0%,  10 ,0.0%,10.0%,  5 ,  7 
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Total,7.1%,0.0%,0.0%,0.0%,7.1%,7.1%,  4 ,7.1%,7.1%,  7 ,0.0%,7.1%,  4 ,  5 
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Micros,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Pymes,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%, - ,0.0%,0.0%, - ,0.0%,0.0%, - , - 
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Grandes,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Total,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%, - ,0.0%,0.0%, - ,0.0%,0.0%, - , - 
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Micros,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Pymes,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%, - ,0.0%,0.0%, - ,0.0%,0.0%, - , - 
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Grandes,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Total,10.0%,0.0%,0.0%,0.0%,10.0%,10.0%,  6 ,10.0%,10.0%,  10 ,10.0%,10.0%,  10 ,  9 
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Micros,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Pymes,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Grandes,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Total,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Micros,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Pymes,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Grandes,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Madera y muebles,Total,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Madera y muebles,Micros,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Madera y muebles,Pymes,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Madera y muebles,Grandes,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Papel e impresión,Total,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Papel e impresión,Micros,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Papel e impresión,Pymes,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Papel e impresión,Grandes,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Otros manufactura,Total,6.3%,12.5%,6.3%,0.0%,12.5%,12.5%,  8 ,11.3%,11.3%,  11 ,0.0%,12.5%,  6 ,  9 
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Otros manufactura,Micros,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Otros manufactura,Pymes,8.3%,16.7%,8.3%,0.0%,16.7%,16.7%,  11 ,15.0%,15.0%,  15 ,0.0%,16.7%,  8 ,  11 
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Otros manufactura,Grandes,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Servicios Publicos,Total,Total,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Servicios Publicos,Total,Micros,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Servicios Publicos,Total,Pymes,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Servicios Publicos,Total,Grandes,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Construccion,Total,Total,0.0%,7.1%,0.0%,0.0%,7.1%,0.0%,  2 ,10.0%,12.9%,  11 ,7.1%,0.0%,  4 ,  6 
2017,Region Pacifico,Sector Secundario,Construccion,Total,Micros,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Construccion,Total,Pymes,0.0%,7.7%,0.0%,0.0%,7.7%,0.0%,  2 ,10.8%,13.8%,  12 ,7.7%,0.0%,  4 ,  6 
2017,Region Pacifico,Sector Secundario,Construccion,Total,Grandes,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Total,Total,Total,4.3%,10.3%,0.7%,9.6%,8.0%,2.2%,  5 ,8.4%,10.5%,  9 ,7.4%,5.1%,  6 ,  7 
2017,Region Pacifico,Sector Terciario,Total,Total,Micros,3.2%,10.2%,0.4%,10.8%,9.0%,0.7%,  5 ,8.2%,10.4%,  9 ,9.6%,3.7%,  7 ,  7 
2017,Region Pacifico,Sector Terciario,Total,Total,Pymes,7.3%,9.7%,1.4%,6.6%,4.2%,5.1%,  5 ,8.2%,9.9%,  9 ,2.0%,7.9%,  5 ,  6 
2017,Region Pacifico,Sector Terciario,Total,Total,Grandes,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Comercio,Total,Total,0.0%,8.3%,0.0%,8.3%,8.3%,0.0%,  3 ,5.0%,8.3%,  7 ,8.3%,0.0%,  4 ,  5 
2017,Region Pacifico,Sector Terciario,Comercio,Total,Micros,0.0%,10.0%,0.0%,10.0%,10.0%,0.0%,  4 ,6.0%,10.0%,  8 ,10.0%,0.0%,  5 ,  6 
2017,Region Pacifico,Sector Terciario,Comercio,Total,Pymes,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Comercio,Total,Grandes,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Servicios,Total,Total,10.2%,13.0%,1.7%,11.2%,7.4%,5.2%,  8 ,13.1%,13.3%,  13 ,6.1%,12.1%,  9 ,  10 
2017,Region Pacifico,Sector Terciario,Servicios,Total,Micros,9.7%,10.7%,1.3%,12.4%,7.1%,2.0%,  7 ,12.6%,11.3%,  12 ,8.7%,11.1%,  10 ,  10 
2017,Region Pacifico,Sector Terciario,Servicios,Total,Pymes,11.2%,14.8%,2.2%,10.1%,6.5%,7.8%,  8 ,12.5%,15.2%,  14 ,3.0%,12.1%,  8 ,  10 
2017,Region Pacifico,Sector Terciario,Servicios,Total,Grandes,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Servicios,Transporte y almacenamiento,Total,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%, - ,0.0%,0.0%, - ,0.0%,0.0%, - , - 
2017,Region Pacifico,Sector Terciario,Servicios,Transporte y almacenamiento,Micros,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Servicios,Transporte y almacenamiento,Pymes,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Servicios,Transporte y almacenamiento,Grandes,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Servicios,Alojamiento y servicios de comida,Total,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%, - ,0.0%,0.0%, - ,0.0%,0.0%, - , - 
2017,Region Pacifico,Sector Terciario,Servicios,Alojamiento y servicios de comida,Micros,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%, - ,0.0%,0.0%, - ,0.0%,0.0%, - , - 
2017,Region Pacifico,Sector Terciario,Servicios,Alojamiento y servicios de comida,Pymes,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Servicios,Alojamiento y servicios de comida,Grandes,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Servicios,Información y comunicaciones,Total,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Servicios,Información y comunicaciones,Micros,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Servicios,Información y comunicaciones,Pymes,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Servicios,Información y comunicaciones,Grandes,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Servicios,Actividades financieras y de seguros,Total,0.0%,0.0%,0.0%,0.0%,7.7%,7.7%,  2 ,7.7%,7.7%,  8 ,0.0%,0.0%, - ,  3 
2017,Region Pacifico,Sector Terciario,Servicios,Actividades financieras y de seguros,Micros,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Servicios,Actividades financieras y de seguros,Pymes,0.0%,0.0%,0.0%,0.0%,9.1%,9.1%,  3 ,9.1%,9.1%,  9 ,0.0%,0.0%, - ,  4 
2017,Region Pacifico,Sector Terciario,Servicios,Actividades financieras y de seguros,Grandes,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Servicios,Actividades inmobiliarias y Actividades de servicios administrativos y de apoyo,Total,6.7%,20.0%,0.0%,13.3%,6.7%,6.7%,  7 ,20.0%,20.0%,  20 ,13.3%,13.3%,  13 ,  14 
2017,Region Pacifico,Sector Terciario,Servicios,Actividades inmobiliarias y Actividades de servicios administrativos y de apoyo,Micros,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Servicios,Actividades inmobiliarias y Actividades de servicios administrativos y de apoyo,Pymes,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Servicios,Actividades inmobiliarias y Actividades de servicios administrativos y de apoyo,Grandes,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Servicios,"Actividades profesionales, científicas y técnicas",Total,20.7%,27.6%,3.4%,20.7%,6.9%,10.3%,  14 ,25.6%,26.9%,  26 ,10.3%,24.1%,  17 ,  19 
2017,Region Pacifico,Sector Terciario,Servicios,"Actividades profesionales, científicas y técnicas",Micros,20.0%,26.7%,6.7%,20.0%,6.7%,0.0%,  13 ,26.7%,26.7%,  27 ,20.0%,20.0%,  20 ,  20 
2017,Region Pacifico,Sector Terciario,Servicios,"Actividades profesionales, científicas y técnicas",Pymes,23.1%,23.1%,0.0%,23.1%,0.0%,15.4%,  13 ,18.5%,23.1%,  21 ,0.0%,23.1%,  12 ,  15 
2017,Region Pacifico,Sector Terciario,Servicios,"Actividades profesionales, científicas y técnicas",Grandes,,,,,,,,,,,,,,
